chemin, class, methode, methode_CLOC, methode_LOC, methode_DC	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java, XYImageAnnotation, draw_Graphics2D_XYPlot_Rectangle2Ddraw_Graphics2D_XYPlot_Rectangle2D_ValueAxis, 0.0, 39.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java, XYImageAnnotation, equals_Object, 2.0, 27.0, 0.074074075	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java, XYImageAnnotation, hashCode, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java, XYImageAnnotation, clone, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java, XYImageAnnotation, writeObject_ObjectOutputStream, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java, XYLineAnnotation, XYLineAnnotation_double_double_double_double, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java, XYLineAnnotation, XYLineAnnotation_double_double_double_doubleXYLineAnnotation_double_double_double_double, 0.0, 12.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java, XYLineAnnotation, draw_Graphics2D_XYPlot_Rectangle2Ddraw_Graphics2D_XYPlot_Rectangle2D_ValueAxis, 2.0, 49.0, 0.040816326	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java, XYLineAnnotation, equals_Object, 1.0, 32.0, 0.03125	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java, XYLineAnnotation, hashCode, 0.0, 13.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java, XYLineAnnotation, clone, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java, XYLineAnnotation, writeObject_ObjectOutputStream, 0.0, 5.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java, XYPointerAnnotation, XYPointerAnnotation_String_double_double_double, 0.0, 11.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java, XYPointerAnnotation, getAngle, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java, XYPointerAnnotation, setAngle_double, 0.0, 4.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java, XYPointerAnnotation, getTipRadius, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java, XYPointerAnnotation, setTipRadius_double, 0.0, 4.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java, XYPointerAnnotation, getBaseRadius, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java, XYPointerAnnotation, setBaseRadius_double, 0.0, 4.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java, XYPointerAnnotation, getLabelOffset, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java, XYPointerAnnotation, setLabelOffset_double, 0.0, 4.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java, XYPointerAnnotation, getArrowLength, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java, XYPointerAnnotation, setArrowLength_double, 0.0, 4.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java, XYPointerAnnotation, getArrowWidth, 0.0, 3.0, 0.0	
